city,region,category_focus,temperature_f,precipitation_in,staffing_recommendation
Phoenix,Mountain,Home & Garden,74.1,0,Standard Staffing
Phoenix,Mountain,Home & Garden,69.5,0.2,Increase Staff
Phoenix,Mountain,Home & Garden,71.8,0,Standard Staffing
Phoenix,Mountain,Home & Garden,68.4,0,Standard Staffing
Phoenix,Mountain,Home & Garden,68.2,0,Standard Staffing
Phoenix,Mountain,Home & Garden,64.9,0,Standard Staffing
Phoenix,Mountain,Home & Garden,72.1,0.2,Increase Staff
Phoenix,Mountain,Home & Garden,84.4,1,Increase Staff
Phoenix,Mountain,Home & Garden,87.1,1,Increase Staff
Phoenix,Mountain,Home & Garden,77.2,0,Standard Staffing
Phoenix,Mountain,Home & Garden,60.6,0,Standard Staffing
Phoenix,Mountain,Home & Garden,70.6,0,Standard Staffing
Phoenix,Mountain,Home & Garden,72.2,0,Standard Staffing
Phoenix,Mountain,Home & Garden,66,0,Standard Staffing
Phoenix,Mountain,Home & Garden,74.8,0,Standard Staffing
Phoenix,Mountain,Home & Garden,79.1,0.2,Increase Staff
Chicago,Midwest,Apparel,92.8,0,Increase Staff
Chicago,Midwest,Apparel,71.5,0,Standard Staffing
Chicago,Midwest,Apparel,70.7,0,Standard Staffing
Chicago,Midwest,Apparel,77.6,0,Standard Staffing
Chicago,Midwest,Apparel,83.6,0,Standard Staffing
Chicago,Midwest,Apparel,72.1,0,Standard Staffing
Chicago,Midwest,Apparel,79,0,Standard Staffing
Chicago,Midwest,Apparel,59,0,Standard Staffing
Chicago,Midwest,Apparel,79.5,0,Standard Staffing
Chicago,Midwest,Apparel,81.8,1,Increase Staff
Chicago,Midwest,Apparel,84,1,Increase Staff
Chicago,Midwest,Apparel,80.7,0,Standard Staffing
Chicago,Midwest,Apparel,59.8,0.2,Increase Staff
Chicago,Midwest,Apparel,86.6,0.1,Standard Staffing
Chicago,Midwest,Apparel,77.6,0.5,Increase Staff
Chicago,Midwest,Apparel,78.7,0.2,Increase Staff
Chicago,Midwest,Apparel,85.5,0.1,Standard Staffing
Chicago,Midwest,Apparel,79.2,0,Standard Staffing
Chicago,Midwest,Apparel,78.7,0.1,Standard Staffing
Chicago,Midwest,Apparel,64.2,0,Standard Staffing
Chicago,Midwest,Apparel,75,0,Standard Staffing
Chicago,Midwest,Apparel,70.1,0.2,Increase Staff
Chicago,Midwest,Apparel,58.9,1,Increase Staff
Minneapolis,Midwest,Home & Garden,83.4,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,71.5,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,70.6,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,74.4,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,77.9,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,84.8,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,85.8,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,80.8,1,Increase Staff
Minneapolis,Midwest,Home & Garden,77.5,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,63.4,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,62.8,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,77.3,0.5,Increase Staff
Minneapolis,Midwest,Home & Garden,81.9,0.5,Increase Staff
Minneapolis,Midwest,Home & Garden,68.2,0.2,Increase Staff
Minneapolis,Midwest,Home & Garden,76.4,0.2,Increase Staff
Minneapolis,Midwest,Home & Garden,68.7,1,Increase Staff
Minneapolis,Midwest,Home & Garden,65.4,0.2,Increase Staff
Minneapolis,Midwest,Home & Garden,70.8,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,78.2,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,84.8,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,81.4,1,Increase Staff
Minneapolis,Midwest,Home & Garden,58.6,0,Standard Staffing
Minneapolis,Midwest,Home & Garden,85.2,0.1,Standard Staffing
Dallas,South,Electronics,94.6,0,Increase Staff
Dallas,South,Electronics,79.8,0,Standard Staffing
Dallas,South,Electronics,78.2,0,Standard Staffing
Dallas,South,Electronics,82,0,Standard Staffing
Dallas,South,Electronics,92.1,0,Increase Staff
Dallas,South,Electronics,95.8,0,Increase Staff
Dallas,South,Electronics,96.6,0,Increase Staff
Dallas,South,Electronics,98.6,0,Increase Staff
Dallas,South,Electronics,87,0,Standard Staffing
Dallas,South,Electronics,83.4,0,Standard Staffing
Dallas,South,Electronics,80.6,1,Increase Staff
Dallas,South,Electronics,90.3,1,Increase Staff
Dallas,South,Electronics,71,0.2,Increase Staff
Dallas,South,Electronics,95.9,0,Increase Staff
Dallas,South,Electronics,99.1,0.5,Increase Staff
Dallas,South,Electronics,96.3,0,Increase Staff
Dallas,South,Electronics,91.1,0.5,Increase Staff
Dallas,South,Electronics,96,0,Increase Staff
Dallas,South,Electronics,87.9,1,Increase Staff
Dallas,South,Electronics,79.8,0,Standard Staffing
Dallas,South,Electronics,81.5,1,Increase Staff
Dallas,South,Electronics,77.2,0,Standard Staffing
Dallas,South,Electronics,94.6,0,Increase Staff
Houston,South,Home & Garden,87.5,0,Standard Staffing
Houston,South,Home & Garden,80.1,0,Standard Staffing
Houston,South,Home & Garden,78.7,0,Standard Staffing
Houston,South,Home & Garden,82.7,0,Standard Staffing
Houston,South,Home & Garden,88.4,0,Standard Staffing
Houston,South,Home & Garden,84.5,0.2,Increase Staff
Houston,South,Home & Garden,90.5,0,Increase Staff
Houston,South,Home & Garden,94.9,0,Increase Staff
Houston,South,Home & Garden,91.1,0,Increase Staff
Houston,South,Home & Garden,82.3,0,Standard Staffing
Houston,South,Home & Garden,73.6,0,Standard Staffing
Houston,South,Home & Garden,73.9,0.5,Increase Staff
Houston,South,Home & Garden,92.7,1,Increase Staff
Houston,South,Home & Garden,96.1,0.1,Increase Staff
Houston,South,Home & Garden,82.7,0.2,Increase Staff
Houston,South,Home & Garden,72.9,1,Increase Staff
Houston,South,Home & Garden,92.8,0,Increase Staff
Houston,South,Home & Garden,77,0.2,Increase Staff
Houston,South,Home & Garden,79.6,1,Increase Staff
Houston,South,Home & Garden,97.4,0.1,Increase Staff
Houston,South,Home & Garden,94.1,0.2,Increase Staff
Houston,South,Home & Garden,97.4,0,Increase Staff
Houston,South,Home & Garden,71.8,1,Increase Staff
Miami,South,Apparel,83.5,0,Standard Staffing
Miami,South,Apparel,77.6,0,Standard Staffing
Miami,South,Apparel,77.4,0,Standard Staffing
Miami,South,Apparel,85.7,0,Standard Staffing
Miami,South,Apparel,86.8,0,Standard Staffing
Miami,South,Apparel,87,0,Standard Staffing
Miami,South,Apparel,85.5,0,Standard Staffing
Miami,South,Apparel,97.7,0.2,Increase Staff
Miami,South,Apparel,99.4,1,Increase Staff
Miami,South,Apparel,71.1,0,Standard Staffing
Miami,South,Apparel,94.9,0.1,Increase Staff
Miami,South,Apparel,86.8,0,Standard Staffing
Miami,South,Apparel,81.7,0.2,Increase Staff
Miami,South,Apparel,79.9,0.2,Increase Staff
Miami,South,Apparel,84.1,0,Standard Staffing
Miami,South,Apparel,96.1,0.1,Increase Staff
Miami,South,Apparel,93.9,0,Increase Staff
Miami,South,Apparel,73.5,0.5,Increase Staff
Miami,South,Apparel,92,0,Increase Staff
Miami,South,Apparel,97.4,0.2,Increase Staff
Miami,South,Apparel,96.6,0,Increase Staff
Miami,South,Apparel,97.4,0.2,Increase Staff
Miami,South,Apparel,82.3,0,Standard Staffing
Atlanta,South,Electronics,84.8,0,Standard Staffing
Atlanta,South,Electronics,80.2,0,Standard Staffing
Atlanta,South,Electronics,77.9,0,Standard Staffing
Atlanta,South,Electronics,85.8,0,Standard Staffing
Atlanta,South,Electronics,93.9,0,Increase Staff
Atlanta,South,Electronics,90.4,0,Increase Staff
Atlanta,South,Electronics,85.4,0,Standard Staffing
Atlanta,South,Electronics,86.7,0,Standard Staffing
Atlanta,South,Electronics,95.6,0,Increase Staff
Atlanta,South,Electronics,98.6,0.2,Increase Staff
Atlanta,South,Electronics,84,1,Increase Staff
Atlanta,South,Electronics,94.3,0,Increase Staff
Atlanta,South,Electronics,90.9,0,Increase Staff
Atlanta,South,Electronics,83.3,1,Increase Staff
Atlanta,South,Electronics,75.2,1,Increase Staff
Atlanta,South,Electronics,99.5,0.2,Increase Staff
Atlanta,South,Electronics,74.9,1,Increase Staff
Atlanta,South,Electronics,95.4,1,Increase Staff
Atlanta,South,Electronics,92.5,0,Increase Staff
Atlanta,South,Electronics,71.5,0.1,Standard Staffing
Atlanta,South,Electronics,72,1,Increase Staff
Atlanta,South,Electronics,82.7,0.5,Increase Staff
Atlanta,South,Electronics,85,0,Standard Staffing
New York,Northeast,Apparel,95.5,0,Increase Staff
New York,Northeast,Apparel,84.3,0,Standard Staffing
New York,Northeast,Apparel,85.6,0,Standard Staffing
New York,Northeast,Apparel,94.6,0,Increase Staff
New York,Northeast,Apparel,99.8,0,Increase Staff
New York,Northeast,Apparel,102.1,0,Increase Staff
New York,Northeast,Apparel,96.4,0,Increase Staff
New York,Northeast,Apparel,54.8,0.5,Increase Staff
New York,Northeast,Apparel,75.4,0,Standard Staffing
New York,Northeast,Apparel,73.9,0.2,Increase Staff
New York,Northeast,Apparel,61,0.1,Standard Staffing
New York,Northeast,Apparel,73.4,0,Standard Staffing
New York,Northeast,Apparel,57.9,0,Standard Staffing
New York,Northeast,Apparel,81,0.5,Increase Staff
New York,Northeast,Apparel,64.8,0.2,Increase Staff
New York,Northeast,Apparel,68.4,0.1,Standard Staffing
New York,Northeast,Apparel,72,0.5,Increase Staff
New York,Northeast,Apparel,68.1,1,Increase Staff
New York,Northeast,Apparel,79.7,1,Increase Staff
New York,Northeast,Apparel,78.2,1,Increase Staff
New York,Northeast,Apparel,66.1,0.1,Standard Staffing
New York,Northeast,Apparel,72,1,Increase Staff
New York,Northeast,Apparel,81,0,Standard Staffing
Boston,Northeast,Outdoor Gear,95.8,0,Increase Staff
Boston,Northeast,Outdoor Gear,82,0,Standard Staffing
Boston,Northeast,Outdoor Gear,84.1,0,Standard Staffing
Boston,Northeast,Outdoor Gear,91.6,0,Increase Staff
Boston,Northeast,Outdoor Gear,96.9,0,Increase Staff
Boston,Northeast,Outdoor Gear,98.7,0,Increase Staff
Boston,Northeast,Outdoor Gear,95.2,0,Increase Staff
Boston,Northeast,Outdoor Gear,54,0,Standard Staffing
Boston,Northeast,Outdoor Gear,79.4,0.1,Standard Staffing
Boston,Northeast,Outdoor Gear,71.5,0,Standard Staffing
Boston,Northeast,Outdoor Gear,81.7,0.5,Increase Staff
Boston,Northeast,Outdoor Gear,68.6,0.1,Standard Staffing
Boston,Northeast,Outdoor Gear,59,0.5,Increase Staff
Boston,Northeast,Outdoor Gear,78.2,0.1,Standard Staffing
Boston,Northeast,Outdoor Gear,58.6,0,Standard Staffing
Boston,Northeast,Outdoor Gear,78.6,0.5,Increase Staff
Boston,Northeast,Outdoor Gear,73.3,0,Standard Staffing
Boston,Northeast,Outdoor Gear,65.6,0,Standard Staffing
Boston,Northeast,Outdoor Gear,57.5,0,Standard Staffing
Boston,Northeast,Outdoor Gear,80.7,0.2,Increase Staff
Boston,Northeast,Outdoor Gear,74.8,0,Standard Staffing
Boston,Northeast,Outdoor Gear,62.1,0.1,Standard Staffing
Boston,Northeast,Outdoor Gear,82.4,0.2,Increase Staff
